"cround","age_cat","igg_cat_pos","igg_cat_total","prev_pos","date","collection_date_start","collection_date_end","days_seroconversion"
1,"[0,10)",2,36,0.0555555555555556,2020-03-19,2020-03-30,2020-04-05,14
1,"[10,20)",7,294,0.0238095238095238,2020-03-19,2020-03-30,2020-04-05,14
1,"[20,30)",7,436,0.0160550458715596,2020-03-19,2020-03-30,2020-04-05,14
1,"[30,40)",10,461,0.0216919739696312,2020-03-19,2020-03-30,2020-04-05,14
1,"[40,50)",13,468,0.0277777777777778,2020-03-19,2020-03-30,2020-04-05,14
1,"[50,60)",16,498,0.0321285140562249,2020-03-19,2020-03-30,2020-04-05,14
1,"[60,70)",16,507,0.0315581854043393,2020-03-19,2020-03-30,2020-04-05,14
1,"[70,80)",12,506,0.0237154150197628,2020-03-19,2020-03-30,2020-04-05,14
1,"[80,90)",13,493,0.026369168356998,2020-03-19,2020-03-30,2020-04-05,14
1,"[90,Inf)",4,211,0.018957345971564,2020-03-19,2020-03-30,2020-04-05,14
2,"[0,10)",4,84,0.0476190476190476,2020-04-09,2020-04-20,2020-04-26,14
2,"[10,20)",20,437,0.045766590389016,2020-04-09,2020-04-20,2020-04-26,14
2,"[20,30)",23,375,0.0613333333333333,2020-04-09,2020-04-20,2020-04-26,14
2,"[30,40)",18,407,0.0442260442260442,2020-04-09,2020-04-20,2020-04-26,14
2,"[40,50)",25,406,0.061576354679803,2020-04-09,2020-04-20,2020-04-26,14
2,"[50,60)",29,430,0.0674418604651163,2020-04-09,2020-04-20,2020-04-26,14
2,"[60,70)",16,426,0.0375586854460094,2020-04-09,2020-04-20,2020-04-26,14
2,"[70,80)",12,316,0.0379746835443038,2020-04-09,2020-04-20,2020-04-26,14
2,"[80,90)",21,315,0.0666666666666667,2020-04-09,2020-04-20,2020-04-26,14
2,"[90,Inf)",25,195,0.128205128205128,2020-04-09,2020-04-20,2020-04-26,14
