"date","Year","Week","Date.start","Date.stop","Invalid.results","Non-VOCs","501Y.V1","501Y.V2","501Y.V3","B.1.617.1","B.1.617.2","BA.1","BA.2","BA.3","BA.4","BA.5","Recombinants","Total.tests.performed","%.VOCs","Invalid.results.active","Non-VOCs.active","501Y.V1.active","501Y.V2.active","501Y.V3.active","B.1.617.1.active","B.1.617.2.active","BA.1.active","BA.2.active","BA.3.active","BA.4.active","BA.5.active","Recombinants.active","Total.tests.performed.active","date_start","date_stop","voc_alpha","voc_beta","voc_gamma","voc_delta","voc_omicron","voc_ba1","voc_ba2","voc_ba4_ba5","n_sequenced","voc_aggr","sftg_logistic_prob_omicron","sftg_total","sftg_omicron"
2021-01-07,2021,1,"44200","44206",0,90,3,0,0,0,0,0,0,0,0,0,0,93,0.032258064516129,3,58,34,4,0,0,0,0,0,0,0,0,0,96,2021-01-04,2021-01-10,3,0,0,0,0,0,0,0,93,3,NA,NA,NA
2021-01-14,2021,2,"44207","44213",0,91,8,1,0,0,0,0,0,0,0,0,0,100,0.09,11,177,90,7,0,0,0,0,0,0,0,0,0,274,2021-01-11,2021-01-17,8,1,0,0,0,0,0,0,100,9,NA,NA,NA
2021-01-21,2021,3,"44214","44220",17,352,58,10,0,0,0,0,0,0,0,0,0,420,0.161904761904762,33,115,362,15,0,0,0,0,0,0,0,0,0,492,2021-01-18,2021-01-24,58,10,0,0,0,0,0,0,420,68,NA,NA,NA
2021-01-28,2021,4,"44221","44227",36,364,152,19,2,0,0,0,0,0,0,0,0,537,0.322160148975791,75,68,208,7,0,0,0,0,0,0,0,0,0,283,2021-01-25,2021-01-31,152,19,2,0,0,0,0,0,537,173,NA,NA,NA
2021-02-04,2021,5,"44228","44234",51,417,351,35,5,0,0,0,0,0,0,0,0,808,0.483910891089109,2,19,28,10,0,0,0,0,0,0,0,0,0,57,2021-02-01,2021-02-07,351,35,5,0,0,0,0,0,808,391,NA,NA,NA
2021-02-11,2021,6,"44235","44241",20,295,309,49,12,0,0,0,0,0,0,0,0,665,0.556390977443609,17,44,44,26,7,0,0,0,0,0,0,0,0,121,2021-02-08,2021-02-14,309,49,12,0,0,0,0,0,665,370,NA,NA,NA
2021-02-18,2021,7,"44242","44248",27,286,432,49,17,0,0,0,0,0,0,0,0,784,0.635204081632653,15,138,65,36,15,0,0,0,0,0,0,0,0,254,2021-02-15,2021-02-21,432,49,17,0,0,0,0,0,784,498,NA,NA,NA
2021-02-25,2021,8,"44249","44255",44,315,580,61,26,0,0,0,0,0,0,0,0,982,0.679226069246436,4,20,69,30,11,0,0,0,0,0,0,0,0,130,2021-02-22,2021-02-28,580,61,26,0,0,0,0,0,982,667,NA,NA,NA
2021-03-04,2021,9,"44256","44262",45,187,482,62,20,0,0,0,0,0,0,0,0,751,0.750998668442077,13,16,97,49,7,0,0,0,0,0,0,0,0,169,2021-03-01,2021-03-07,482,62,20,0,0,0,0,0,751,564,NA,NA,NA
2021-03-11,2021,10,"44263","44269",22,183,883,54,28,0,0,0,0,0,0,0,0,1148,0.840592334494774,9,29,81,43,14,0,0,0,0,0,0,0,0,167,2021-03-08,2021-03-14,883,54,28,0,0,0,0,0,1148,965,NA,NA,NA
2021-03-18,2021,11,"44270","44276",13,123,936,38,61,0,0,0,0,0,0,0,0,1158,0.893782383419689,5,28,106,38,30,0,0,0,0,0,0,0,0,202,2021-03-15,2021-03-21,936,38,61,0,0,0,0,0,1158,1035,NA,NA,NA
2021-03-25,2021,12,"44277","44283",19,138,1303,58,69,0,0,0,0,0,0,0,0,1568,0.911989795918367,8,18,103,15,31,0,0,0,0,0,0,0,0,167,2021-03-22,2021-03-28,1303,58,69,0,0,0,0,0,1568,1430,NA,NA,NA
2021-04-01,2021,13,"44284","44290",29,108,1131,28,67,0,0,0,0,0,0,0,0,1334,0.91904047976012,6,26,75,7,31,4,0,0,0,0,0,0,0,143,2021-03-29,2021-04-04,1131,28,67,0,0,0,0,0,1334,1226,NA,NA,NA
2021-04-08,2021,14,"44291","44297",34,81,1117,14,126,1,3,0,0,0,0,0,0,1342,0.939642324888227,8,14,92,15,94,1,0,0,0,0,0,0,0,216,2021-04-05,2021-04-11,1117,14,126,3,0,0,0,0,1342,1257,NA,NA,NA
2021-04-15,2021,15,"44298","44304",34,111,1154,15,119,0,1,0,0,0,0,0,0,1400,0.920714285714286,4,15,68,6,31,0,4,0,0,0,0,0,0,124,2021-04-12,2021-04-18,1154,15,119,1,0,0,0,0,1400,1288,NA,NA,NA
2021-04-22,2021,16,"44305","44311",24,88,1094,28,95,0,5,0,0,0,0,0,0,1310,0.932824427480916,3,39,103,8,38,2,28,0,0,0,0,0,0,218,2021-04-19,2021-04-25,1094,28,95,5,0,0,0,0,1310,1217,NA,NA,NA
2021-04-29,2021,17,"44312","44318",33,81,1184,18,82,2,10,0,0,0,0,0,0,1377,0.941176470588235,12,19,85,5,26,9,36,0,0,0,0,0,0,180,2021-04-26,2021-05-02,1184,18,82,10,0,0,0,0,1377,1284,NA,NA,NA
2021-05-06,2021,18,"44319","44325",29,63,1148,17,105,1,6,0,0,0,0,0,0,1340,0.952985074626866,12,32,113,21,49,0,23,0,0,0,0,0,0,238,2021-05-03,2021-05-09,1148,17,105,6,0,0,0,0,1340,1270,NA,NA,NA
2021-05-13,2021,19,"44326","44332",20,44,942,13,95,0,12,0,0,0,0,0,0,1106,0.960216998191682,9,20,111,17,44,2,34,0,0,0,0,0,0,228,2021-05-10,2021-05-16,942,13,95,12,0,0,0,0,1106,1050,NA,NA,NA
2021-05-20,2021,20,"44333","44339",31,41,1082,7,139,0,20,0,0,0,0,0,0,1289,0.968192397207137,22,40,157,5,18,0,68,0,0,0,0,0,0,288,2021-05-17,2021-05-23,1082,7,139,20,0,0,0,0,1289,1228,NA,NA,NA
2021-05-27,2021,21,"44340","44346",35,38,727,10,99,0,43,0,0,0,0,0,0,917,0.95856052344602,13,11,125,2,16,0,36,0,0,0,0,0,0,190,2021-05-24,2021-05-30,727,10,99,43,0,0,0,0,917,836,NA,NA,NA
2021-06-03,2021,22,"44347","44353",22,15,712,12,83,0,71,0,0,0,0,0,0,893,0.983202687569989,15,8,100,1,34,0,36,0,0,0,0,0,0,179,2021-05-31,2021-06-06,712,12,83,71,0,0,0,0,893,807,NA,NA,NA
2021-06-10,2021,23,"44354","44360",21,19,522,8,62,0,112,0,0,0,0,0,0,723,0.97372060857538,10,7,56,1,4,0,25,0,0,0,0,0,0,93,2021-06-07,2021-06-13,522,8,62,112,0,0,0,0,723,592,NA,NA,NA
2021-06-17,2021,24,"44361","44367",13,13,301,4,44,0,141,0,0,0,0,0,0,503,0.974155069582505,12,2,35,1,5,0,38,0,0,0,0,0,0,81,2021-06-14,2021-06-20,301,4,44,141,0,0,0,0,503,349,NA,NA,NA
2021-06-24,2021,25,"44368","44374",18,12,239,6,29,0,237,0,0,0,0,0,0,523,0.977055449330784,6,0,20,0,0,0,74,0,0,0,0,0,0,94,2021-06-21,2021-06-27,239,6,29,237,0,0,0,0,523,274,NA,NA,NA
2021-07-01,2021,26,"44375","44381",40,27,203,6,21,0,518,0,0,0,0,0,0,775,0.965161290322581,7,3,20,0,1,0,109,0,0,0,0,0,0,133,2021-06-28,2021-07-04,203,6,21,518,0,0,0,0,775,230,NA,NA,NA
2021-07-08,2021,27,"44382","44388",43,21,220,3,56,0,1062,0,0,0,0,0,0,1362,0.984581497797357,19,1,27,0,11,0,270,0,0,0,0,0,0,309,2021-07-05,2021-07-11,220,3,56,1062,0,0,0,0,1362,279,NA,NA,NA
2021-07-15,2021,28,"44389","44395",37,7,80,2,40,0,1188,0,0,0,0,0,0,1317,0.994684889901291,10,8,22,1,7,0,486,0,0,0,0,0,0,524,2021-07-12,2021-07-18,80,2,40,1188,0,0,0,0,1317,122,NA,NA,NA
2021-07-22,2021,29,"44396","44402",29,21,42,5,4,2,1272,0,0,0,0,0,0,1346,0.984398216939079,15,24,14,0,1,0,524,0,0,0,0,0,0,563,2021-07-19,2021-07-25,42,5,4,1272,0,0,0,0,1346,51,NA,NA,NA
2021-07-29,2021,30,"44403","44409",51,0,31,2,12,0,1124,0,0,0,0,0,0,1169,1,35,6,8,0,0,0,591,0,0,0,0,0,0,605,2021-07-26,2021-08-01,31,2,12,1124,0,0,0,0,1169,45,NA,NA,NA
2021-08-05,2021,31,"44410","44416",30,7,6,0,2,0,1156,0,0,0,0,0,0,1171,0.99402220324509,25,2,8,0,0,0,882,0,0,0,0,0,0,892,2021-08-02,2021-08-08,6,0,2,1156,0,0,0,0,1171,8,NA,NA,NA
2021-08-12,2021,32,"44417","44423",19,2,2,0,1,0,1080,0,0,0,0,0,0,1085,0.99815668202765,23,1,1,0,2,0,576,0,0,0,0,0,0,580,2021-08-09,2021-08-15,2,0,1,1080,0,0,0,0,1085,3,NA,NA,NA
2021-08-19,2021,33,"44424","44430",48,1,5,0,0,0,1298,0,0,0,0,0,0,1304,0.999233128834356,23,0,1,0,0,0,699,0,0,0,0,0,0,700,2021-08-16,2021-08-22,5,0,0,1298,0,0,0,0,1304,5,NA,NA,NA
2021-08-26,2021,34,"44431","44437",27,7,1,0,0,0,1148,0,0,0,0,0,0,1156,0.993944636678201,28,1,5,0,0,0,587,0,0,0,0,0,0,593,2021-08-23,2021-08-29,1,0,0,1148,0,0,0,0,1156,1,NA,NA,NA
2021-09-02,2021,35,"44438","44444",31,1,0,0,0,0,1336,0,0,0,0,0,0,1337,0.99925205684368,11,1,0,0,0,0,591,0,0,0,0,0,0,592,2021-08-30,2021-09-05,0,0,0,1336,0,0,0,0,1337,0,NA,NA,NA
