"date","adeno_A_0_9","adeno_A_10_19","adeno_A_20_29","adeno_A_30_39","adeno_A_40_49","adeno_A_50_59","adeno_A_60_69","adeno_A_70_79","adeno_A_80_89","adeno_A_90_99","adeno_B_0_9","adeno_B_10_19","adeno_B_20_29","adeno_B_30_39","adeno_B_40_49","adeno_B_50_59","adeno_B_60_69","adeno_B_70_79","adeno_B_80_89","adeno_B_90_99","rna_A_0_9","rna_A_10_19","rna_A_20_29","rna_A_30_39","rna_A_40_49","rna_A_50_59","rna_A_60_69","rna_A_70_79","rna_A_80_89","rna_A_90_99","rna_B_0_9","rna_B_10_19","rna_B_20_29","rna_B_30_39","rna_B_40_49","rna_B_50_59","rna_B_60_69","rna_B_70_79","rna_B_80_89","rna_B_90_99","rna_E_0_9","rna_E_10_19","rna_E_20_29","rna_E_30_39","rna_E_40_49","rna_E_50_59","rna_E_60_69","rna_E_70_79","rna_E_80_89","rna_E_90_99","rna_F_0_9","rna_F_10_19","rna_F_20_29","rna_F_30_39","rna_F_40_49","rna_F_50_59","rna_F_60_69","rna_F_70_79","rna_F_80_89","rna_F_90_99","rna_G_0_9","rna_G_10_19","rna_G_20_29","rna_G_30_39","rna_G_40_49","rna_G_50_59","rna_G_60_69","rna_G_70_79","rna_G_80_89","rna_G_90_99"
2021-01-01,0,0,0.998421114423322,1.40740825238072,1.18699649099761,1.18680887193714,0.470365270261207,0,0,0,0,0,0,0.150971561134007,0.0990284388659933,0,0,0,0,0,0,1.25,12.0304218188492,15.8817580937272,17.601511385655,24.4204919181787,25.3658574691311,28.0784043327443,83.2149988365137,31.1565561452007,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0.998421114423322,1.40740825238072,1.18699649099761,1.18680887193714,0.470365270261207,0,0,0,0,0,0,0.150971561134007,0.0990284388659933,0,0,0,0,0,0,1.25,12.0304218188492,15.8817580937272,17.601511385655,24.4204919181787,25.3658574691311,28.0784043327443,83.2149988365137,31.1565561452007,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0.998421114423322,1.40740825238072,1.18699649099761,1.18680887193714,0.470365270261207,0,0,0,0,0,0,0.150971561134007,0.0990284388659933,0,0,0,0,0,0,1.25,12.0304218188492,15.8817580937272,17.601511385655,24.4204919181787,25.3658574691311,28.0784043327443,83.2149988365137,31.1565561452007,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,0,0,0.998421114423322,1.40740825238072,1.18699649099761,1.18680887193714,0.470365270261207,0,0,0,0,0,0,0.150971561134007,0.0990284388659933,0,0,0,0,0,0,1.25,12.0304218188492,15.8817580937272,17.601511385655,24.4204919181787,25.3658574691311,28.0784043327443,83.2149988365137,31.1565561452007,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.699052668653993,0.451918892480013,0.39544136776682,1.13914874678572,0.722170702514904,0.0922676217985438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449052668653993,0.753862014748027,0.593498245498807,0.827294854890207,0.376292216208965,0,0.174742618006762,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.699052668653993,0.451918892480013,0.39544136776682,1.13914874678572,0.722170702514904,0.0922676217985438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449052668653993,0.753862014748027,0.593498245498807,0.827294854890207,0.376292216208965,0,0.174742618006762,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.699052668653993,0.451918892480013,0.39544136776682,1.13914874678572,0.722170702514904,0.0922676217985438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449052668653993,0.753862014748027,0.593498245498807,0.827294854890207,0.376292216208965,0,0.174742618006762,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0.699052668653993,0.451918892480013,0.39544136776682,1.13914874678572,0.722170702514904,0.0922676217985438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449052668653993,0.753862014748027,0.593498245498807,0.827294854890207,0.376292216208965,0,0.174742618006762,0.0752573819932385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848736891538658,0.703206230729356,0.790882735533641,1.3427358178849,2.61495924093238,1.83709391732392,0.362385166057148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848736891538658,0.703206230729356,0.790882735533641,1.3427358178849,2.61495924093238,1.83709391732392,0.362385166057148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848736891538658,0.703206230729356,0.790882735533641,1.3427358178849,2.61495924093238,1.83709391732392,0.362385166057148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848736891538658,0.703206230729356,0.790882735533641,1.3427358178849,2.61495924093238,1.83709391732392,0.362385166057148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.748421114423322,0.803522007844691,0.642676271083227,1.08501533638755,0.470365270261207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.09715800596198,2.26158604424408,2.22511412984766,2.00763044158059,2.23583516038025,1.87909846889972,1.06780560310601,0.225772145979715,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.748421114423322,0.803522007844691,0.642676271083227,1.08501533638755,0.470365270261207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.09715800596198,2.26158604424408,2.22511412984766,2.00763044158059,2.23583516038025,1.87909846889972,1.06780560310601,0.225772145979715,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0.748421114423322,0.803522007844691,0.642676271083227,1.08501533638755,0.470365270261207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,2.09715800596198,2.26158604424408,2.22511412984766,2.00763044158059,2.23583516038025,1.87909846889972,1.06780560310601,0.225772145979715,0,0,0,0,0.148206464450414,0.101793535549586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
